0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1723872719529775255168233477739808705550682172067583351531515002896576794274699331456573828897879671480606241901141153738537923622099791332217469260702699225221018982963916207228,1602835646660485740312330081110017514644698531168214852621571030394601782562180875700848998250528688492778880857864703732106752962265001585755591570059811233022234015745074071352,1690504972100231076426743763581475400986582768645288626106816421706034410525003569069183365630459007934598842722880246126255358518999635956118438625207194938851305121362383187260,545738582996609799513010597293123166905795624859165605307662275147269447824974930453412585396159262144056413460234554051007624394476233791501129179949950275982704442923269247340,363148196323670417496357090918621159230207635191297411691108421052010349749905850262737256003168662768035793716747994405944644293044955191307504216693004156480202170586857640924,128032019367289501593329746653602790226903281562568753115434749320355438807119897687454614243648083833559184727826891109523389728809649207907789480389842013121474841939481027580,561135156300757120640381215640793137487268095230901862057148825325355820833456801921751925354297677961967595338682330212800514960816330117017967929863891132206131497486889761340,545406640946900157636508815808963730994349847096900825764465491422952716773520020644671008223546767075044864193638579712911835216584387779401869406759826269433587096366412004588,2770509727815710231520375232081835419635024919394330386389934826083784133655766782698065082157306614879545745912548282794078805821231807498206647026129338040533780508334865333045,1160141057676520562977134434385426782611520042389033094906586143136481604293144301051264047445769323464765582813682380173934460411367230241630219646180743880910951253601097488476,697914675751113560399982581360714510027977044004192486253375205056240168273863955497819326454616121548053107376124763896124762180029649876226049599968532543151993124200506185612,131758353789186223675302267191857933240690791555790552985160338179442359175998858507672478108811157290212666763408249469626715853328654893626026724537942954335811623007571060364,2847565362812819978736935486327952671736017567538883858456421813387882888937138686858961690835800670103835086712326942112987645345733186364498623546204232663406066432394637577576,62999361839304975591095969688690116616014640249858699968729744612288682348479253606509018348502140404661118280342716009183213103319236385545165650729440208113711105412886273788,1398591302286656764638236467538404532636732233694662734860344555617296460541257181036345889951297006047758297178092521117568718730102789266796347788521843218910915917727256855756,724477641367892954407402429899021872798565280037820526050557512279475110667374746665658699451954326448961016386098516371668337871534553889783969825182099793069501828461870783256,2664789044893147626333186116493532777398602436680356604632627346849426286864302877998786235322581031811327725286174924874455995682171371830514976255097212754526918754167675339500,144297179803061953541917039377415149887746391913542950732077151811875260328410478315791895701660342215125098791029633676217059445510103800771518366705918334028224823225485922428,36879910985663802501916094404578395801379753605776830686152327821843511907547768082043221532237325540904255238209282447539841193426004622369439499467362941573199087945392116568,635815090000572684555027195033665210695611517102879026682602908339216990644020950159460065467927875793359187154932919459910490103171515950339316187389920074803725702815992604568,1807115638297526322593888625824341394267607926683064703621464063270332083469840636020117855079628951504308506672254839929452218477874226496102535473900784137086755309324213711832,898729271706280688783077338413243708379897440128619531456918110538107537744022180264419553650442717292773010834970665604068697196174823751096617112489020288976150496842891108428,1703476901608104187805767537987955913045536929373098395909454645945207372160264135848595969113268950153429808727364773384112013708822949751759642741610442093952620673688364259800,88853095482110496835237483981476781909811404375141805721284524559999990539606974474441128794267157726243682166356680736692233570192177903364968121422989193105039764488798228796
2524242196454313766496341878119005604556356037670389907599718397098558877330809735347125963743323804668030568498099546545716245303788980165032722846028952436930777796482877303441,50789935008003446411160096315905824977012354615960315241212425084394345528298828640490992535810636585999266267423415397961186254715600717250134275069635807808425569952521425317,545546517387305879584308741830561313256775231689818628189013448724091461751974141134186515675480184809555529920993608760449870154174465053910944968285665067377015590041352309224,1157691563197366481670684648814244270306139520327729355864072356363372910948543762966783187229994590872416137895288477272438212251426119026117477228499187146316585672310941371800,1153568997734383228787717393716196239460971048041234845216692496230024729751369564163718379856285977003071411632156843238063215060466168479997090039357663904542476987095178796248,2737510937405887231464606704768250946570248309774879456978236003025544145820983165993282496396061295739209535008866824843956038662848835273345227495787058976533957987493239077192,1743270817448298510862591246852856803979953708999967418198372527170981272999877883560098126024196575159062631005230954909701954591750865113340452798115043238352400757345504618312,2468284203895432458020420747080133922129210439536047128087390243182319738404089099886613455818526738719724381509066535184856838510926652146874057835591268340938270605641785577288,1908573368050822603936258493211931066859683833360538710624177324635495736518417116969778167708366779139242624961977705924809844010181911832097912395777988427923271016852907229431,1719689480324797020217609102280178917656002460829582675996408675117467841938080764653176829490913498779945851605889049594464978919019463506198074094198729664251609528145259758680,1518893998485841742587639080217949098711376321405550250311304941720238129780389558090120857956537209148247117433788050678963633171163727857267106102008190737719955696849750228376,687040932712279589078430354528730201238580243018119848085155938416594015221283143128382588119912766097804480746990238001148902052119986265409703449015307894324753951770884924072,352037050215460504543479229861202761838804087643140226373704288505779872575085749828014804410381014278428191650418778100698987456109329032973826705697456487868935332214067238245,375883738586384185118547588568417895651076320962078251448586506639853315726901848008081614569932144925038719481373454038433739985877623556202698865637613701096754065410490266440,698991529737808814163979468774416171313556042786941033030753901086137043018249145589470648095304643328144205096172737544766529446820491287597927440231958018652015484118529071960,783008524409214041370981104777616751101573624742001329364549566899997501566620269156826818801795818918771020174842136310428422990286274196001697832805857575352459224825831620949,1015339800515990892706833157304968539127217055725155490934876420578480999036649840638100493700065842843482417246596406017764662405305091839107500008466638861892138597575989535944,577889446272563576383943088372771407064331463000309273170199653173914194388437589358257175881654224522930306374823521722808602342915200316101671133572252548028079640982856468488,2904893180010397063717271163455727432648788644110636193071763004227440665970578370149281069674470456561594440886646659446784012012260299627038111873031494273438111509779473163525,2473763578873776821188481025429146425381267391077442364898524397669698376681778900516378311269701086952070746003595952032496754302787482625282057773152231689397668567370012897765,489667756345092268303075126740670714477367688431457677351724111654844989383080863173840207594953689685385412723214233835581730553686137816687154040721111723137901952449079960821,2674379517537414784191764164279165528584987481754402618207533692342396251808448384529264388087407951724969308001541411125575441135002406607243662593907555868658725927661748350344,2488706815392168874146844719479385423873605376182055446819408829135322930886642603384058634254721192713964047103747354500098126481064435145256579478412154582612852927673549840533,134885964947169877035526121711884321085747126615541071918284657076153942751371801673714479388385552824581805368223314438887101670723435658852491995155943112349471032011555954744
1662305836689426138912225139249101251781014951636598231833960895650270480193460069618839049294383968927727447547528969676447283492739084498923988215677602824320268305000919199827,2063042710321075721668018647893263419614929703798528582315469413580578262664393486542207867466553978323130156303524165896874658031599041373475564549862452920867875250806360677108,1297519761539274658425987666406619715593470009907015002762093016644242496824176414481401534894231888610041734116237462132675686205917094144960451251710778417932938476510798306159,2594003760218913633348991113666670855480309846027934635437650682676711517199987656721389870632285683392624009835387280639408568054628358199705846806319359440546167074742743644687,1561486596809000334699837428110824097167668272956929270381134766558027420706141651874421902485287537164144262232423198532619755390335968299800996961621174533406336110713531992239,876212895214767478749743691711555776130286538828141422594642751756650418026508685853718240735395911279565185058363487515459794333076142046388168555479305223238995749017296346239,510435658911479361708177672713745192460170148662877053925644396758123279655616369287238680102725373002104921027531537145044097829258319263487035496349842035017854445609890964751,2369988113721394145101986802986038963937700473176169091763590439119225926083804221348841339968966348780993228877966776566308941152986108856567034384539995259376413569300973351039,2770509727815710231520375232081835419635024919394330386389934826083784133655766782698065082157306614879545745912548282794078805821231807498206647026129338040533780508334865333045,1574765344063412003268342317487679559159934804959993953967098644348971876956378566912409408976552437740501867843013511620991776138241745524239212314632415253026579991662150385951,328032074351491072650367120493396094292114345170274361840307729709341997475951005215056094688432663291856170999656359939478149331683402737457059225668039074165573493625103675151,1922561743401191808618150995670191062545819058108852913171391066636336874899673658597362080012936552695434081796128921735311858786599186247763380444972710285323738283340454911375,921516203336199810819404999507810780327258147462677328697750160760084331126813348816564654207153793601367497971010154406996758793252152096602506874273604177784848070318305253812,2632583835222076893082027788581436237615080857707390611610674865775766717113826736564937697584246257588515625054115853589599858893614246738071597089321871056009655869366658738511,553210796855965256822526120422436024917477742343845893127939157697192876790836275167115580996180997466239675138530511264657155790062932066250425447901867086206982598482134656367,432956740497103161553958691292229633257669588376216710609242256118053449672624865753540245173822979842257125368538891328236807059155012920867374040794203340177936418888734340660,2098921243044309221936889698363685786041522535031507845676977417654921030748291419194530645977019447246513992121899003385678237393258360424316899997255047378151051428671675294479,32138068246192081699353924846687337942039485815510080693206094782632079121558746263518559366868417096744936078428847175938607676290647867841616577849641127612787346768615313999,528407650000751854125174140441547563017623765623618601474690515025697502662226444444586066742769954503324240244711830221148462433398137135891696870483572966066656729980988205604,826138318422427025824841262573361521875250515361902923950800659903586086721585568842626741633630048394275465978725041237580287729646532762216484421337196062917067312239112108068,2250291839342780209826330901204168340311351870059025508399058053677553023253219232094561902653377990357430740203801000993468849561997295673996425364058057391377919431277571232612,1369664275968428081393503982541852182996124638982689678495798258566416095929325549384539957291193496797684098561966640264354983959146219926168018031505241769986607497093806430815,611940010282952631927305329935343009034651742760185187049698239476430289972805521385025192956158371535185273777599739614933552431679475365341597462302866852500780853900557099860,1519050412352549076816990455291252664255472291010734480208017711291117750495468377152017369493694368590220263254554109913743373694345125143233217948530970370757301962328133541583
985070125445585860096133415851319260314675526895761915160865715940901025299828189403756473655931240846060709657794944993450242069771309332695696720401542414412010847407952118416,1015077855519306528830482684000683771480313613382776715343120797923297409858665776114231067937554997909683325984144017335429354641040588502749573037724901295632891174174413881736,2830167741647341970811894349720747985371229624378392676140439982623061389878658748656430397670162378808260263414102268024221673952363634899694347120020594302112266839066990248152,1848981306809849706749694884799117515220648471965419507812684709890002249474977122797595648138925592381535129575535123054692781546351784249168586568117156550957209547953526897048,1209137822307482194786774082322349623550024939748192947360862472203788602229913251727940419751581888105213954180591657827412194320334907988169634596012835248382566954772548028824,929332519742017263247199546849626864034906605103213859787751422235598668178003709691775137434050769921998895689415595561891287499184567917540326265593515181569858267104701905256,2851535205658952954502458391856551976319232457035011722402870436593896239396820316654195055614986036031258974448373545539396818229014769667795860377547553802294817030440159042488,1828278445098872340242840958642211434537871510729016045393176854222789611125766137878160362580976784613621689079407360101477817832216375670615367981668006785278588459873885562504,1970140250891171720192266831702638520629351053791523830321731431881802050599656378807512947311862481692121419315589889986900484139542618665391393440803084828824021694815904236832,678132392639260312840246576636567066849056996669048543395072416195380988394250383700480887934176055716288392835808313830577726401114129126966927919942759507739246216185834229752,721173099619421945999679532098250685219500449223235426049979767523934596423938550999599878128895782178127830247374192914450605352139119242421476303944316203626706628643457350120,1123321797568805839835528557974905256575778100496664549520396599402013420727871415318376433174677808123853335736662492912265425577836785473770126723873478508759301945060876352888,266280932588196144885932918015683283821486903391018949495870097762443632571489934406392513951262390281614753512801028060429481972450166195789071656750489123629577642771564925704,143545766331475938783925082715975935070690433915739511030318181531579991276057970443692148471638066391841175381294533936182997510131931458570291980536382306025129939377726307416,1204092497062394836326164552966974486005219132450886548705555433576025605744633206380986001102103403352177947447809906329919604412366926563907154560008887171913866027197825097800,2108581000366729564347120301180523826355083245723439261172986007929746529481244244182791240607522609687591413860681598556882096663776324677962570744875162388080894400310093323784,2268797191215487812467625512615074476111568469309358951596923904564547008559320309422349570171211112622986948185605025599478667093404728808159953141759983975204322296370542259320,1943772743579908222083041928538024817490977705686983518343636349929017947289341970744104129773542350549757479999675980269424509491819588266648037001601853699822291583007127297912,2843316222519990923203286341011102939302175297080808451068011362585675363998492645773610476863621308393786894078313939955298045408366357285204901017925630745938719179583456786984,1226924191474580778257111992552649783476751943410785543367246199068925692405068513068155499740682233646394406233711035039641711812802431601316150535955458084905174326911255938504,427607215651948963406219074508028321437340264657184064650490819031048268650364936977250580831139152000997748088295813733120093172196891064946912301738426118903710315068133865560,830337389461088497065649565935031135273141102413144360058585445433871163168420810125894939648010806237129686221216487353959961383969097811903920923212655880352505007046544385256,2455448899057898628079247555170180307430941764759487124091364733078323868682869938217011593455495336963568909648899489750426758061965988665335636269246127594235146858964578521096,2738542029228907876516411748834593359765028882926096838682090348685666612677988546446696121319445324848374974515308724090728618037377422173016861465596267614643578171985129818040
2770509727815710231520375232081835419635024919394330386389934826083784133655766782698065082157306614879545745912548282794078805821231807498206647026129338040533780508334865333045,928157955344767089866489379828446913972202067059198972761598099755608652100380728961247008757085238693822287098909028226521243981817698927278481683246010763331383071115109132848,263652386079836722658439765504383912166619055768180826735574952623670016467783770244092303903546748079074949010946832339143520221289489716073307381482706492158284846998136703493,1795869309922862337477345648545748220041758511578364423490030837716036665186288682546305934588209270511461621948865804830454008617711938763033853611284560742697649097982810313701,1974760642380304607725440515493973520003702840022637120003428396366032359404491879261019669565730771195099301421971891411062424208280915906096759972178890257588136167656067404181,703715811879278326344853943644643043069142759746587353475755041273791146822424941420101700004315545288063320818963368901937151275729267834388872484600607957820091716982009945141,551459876103021335730973498922013702062301176954900028317937675062282777302757501731619470408452994329050484236649914134788221528187338386441792055168550924656401302188724564949,14361547181209761762139876400911082511615158362175252111750102883138594833110713090206157142945215209960475935080885079631370434198556486416099438461236897098369218713918570309,184700648521047348768025015472122361309001661292955359092662321738918942243717785513204338810487107658636383060836552186271920388082120499880443135075289202702252033888991022203,230274049463162642330940977117073922927405076903078140454802682880245374931141773438463754279417314811628127058323161588365151737344020835217975496679195335684005152121140889269,2417797294684696733350907136074748880610769026188971645837540017663914143927493193850915696788067258155231838937680412888840256501915236931419528853666689718808154827264334508437,1242858710952204366188680624482140894671883471945389374145754567227961187411754694832075394978450688189287840845235969478315684342938581606628074629293410318518740815152243620789,997354670049195504841095664264279154301804969772495065728307075317011703511321483123735725944468971467980569244290139676097713233455268378749613291236565630064355577789437216528,2196539433858683209317777337478053489972588579116075024724882691609087182036595901029342337751408667338037642528307959770835547507719183459954353478217550838265630863983899436933,614358441621848921196223999478807990030664632323015458839671615373251296659134758853965585307885514687976974978989760488536642522884216701373728442188057619530953606620965063621,278627024870567231987214312416873615461121170923281506718788054898254464802765804656924616045191310077986078548411196693059238521593413837968539925382901358682216910589336111056,120913924486831120864060007581812788661217720810954015164835599969970300951675098969647857124051686944618872120037766429394547405159722703726332240017765130276947638840033291445,2296495272454284708026329599676887134669396227408570132016193761227407393043092966642177586756236301454337735266264222262075362197781087444133212278009286338339862076665871069157,1831882713310764046219900318210976033818831052491650847290226098723656471737586155344228502343199303668589332978609298038499782720821566068110095698943657602484498449982044020752,1587012811022458452599283588086354065684018227855686292965492325370324257662999581682739835794280041320133829396059484443176329090285302589337608691317679981376902636100721925904,1105941662124710856123108165719092228801924151472319152743164402778074838157184565529113985782954203615413446750310554475967567040838897394781984412100405224659447782404466359408,424640542017227228222099219193051372556518444604529678235571747647528404739756470947929261304053219279834566835382277781466318997354228952863999252417350119039370927232796485269,1151584166842223699131975898284532070477502575591463483079349670684277814426387195932062114580270857924560133245769858394280061969358327465339250060985118754697282351282502180832,1098125412564969089109947519498980572388227409891717528112784087269018503323466469115445207402615765721943985642855444696629586005929284095243701047834109142811827334013273050165
369401297042094697536050030944244722618003322585910718185324643477837884487435571026408677620974215317272766121673104372543840776164240999760886270150578405404504067777982044406,2945556858665148243748981995208288555176078949173025304916924877756554645716640924980001256334802256386319241864673423958895664041623061801202510450500061590768995516080644683407,2660761736079550705389479542553231618014584415520890742795146207716404545302415664771096755543442992820578843330550599320225261430006404914287119932288072483880459624037752125741,921415089030689682099722695170130360371973973672784331887700105548930069798810444960263835880755145402227652252169422838705309104817967931988389609149269960120610045116714570189,1361400550721116354802444698549282815340247044973295018385176991880937451552244927184755844430877992411918480001969956869058703128811133860961470993774511781645969046345431609757,1595854496642383947802058186427595614691529349853933151039442915005535049488547830626076750808030913844992935373672972782819950705530066567576037044593771838893526839676850956045,2343164175677488737794079444614723520882315735845123116570711359632332555098172307837507496006808768800145361185429296550757531036394635592260497998094289032211240813291555303261,32568459115150692812286901763828481932480190813345574511009039081745613254868323074001566343021039058061080313748428015975917361337348297297470143767219833446806670197486754205,985070125445585860096133415851319260314675526895761915160865715940901025299828189403756473655931240846060709657794944993450242069771309332695696720401542414412010847407952118416,1820267262791256665710805933122575106977628434265443241385286851599196814129421327563943065783399652188360585366927670429103956101122862134980010986335996309032376741787129298285,536784586668849211177483296387446813582995858388146463401141293679551615357108004295127594352771281084204813777910801615572062675602404671407833494325001845505484080853644958525,260046052946484081699047422150733907839756740743304639057512014221219232110137728934802888158202653786835840166238954342043024774328034284170137760285056712919688575796166122269,2149016103109665608432739447720476724824032678987291399905059953281288389042197922721218301060031173713250368305048400859921246521988516209272459326011068138707890787878679710367,1693998705926034618974984782727786770903520428571169500256535350066467456271340931405109115821559732343998682682061517016160476706839143229196095148449277949459767342001309062637,2279305063268112636907446706206350232975740800434177463253608282225966252313859210850091348404391357198222125167360575322933355117979795337173119060462561163917233568889270213213,463587081160043611163978098479851178709949379758968165681656753759243738188289147415292083929839549682665083770980817329201545048741685264820835887974886372532360567939626751743,2171839632800784154759075424769516501957498716235829232895602170626511353992577811809789810636399898988420769864400050761400042059115076657723116651982322461019264861025639092717,821183717452430718560408350027020944066325999657146080258347954557027281649443279883886643640096286636423025755529194391299252996371508696124738430244819397369404077361168610541,2029294342484833885016125092635003290179333543378439900023000899444021639929776245870426165787581876683314201964366204268420623923145081989611327382337041551433440033474716348671,1869425880587099503110224273914837183336670946322277503457037536988523406585738325945267018068747223112893532878902417823865662251449814321302351332380385283425509628220333374303,1913480362643860216272921369834554447634466462863125500201338194607858851876045296678991231654319113722385640132244454801036607326749393554081066414762336993449487746873841361695,2517050307400160100950683379071056847360460990294174383626165004721578315630029492009629307557468214756201797097411801733791424829407880093454975780844327335381563246779668360365,2482188010427900089856905882616165718314592636488524157764655914581429996940146049879129353951211881096900660646525694929052679992461484350742684336680910272351218261206484435039,348068509080651031394886692734206921177466810283073595727889673904887380241046572487886499045782856528349648368046627555605856860501008884236909589111953007757089720000174530397
307834414201745581280041692453537268848336102154925598487770536231531570406196309188673898017478512764393971768060920310453200646803534166467405225125482004503753389814985037005,2784691897454509562129265355549248340429788587313814749019087456749957215869150099090180358179604910329712464182036341739926217070382539205652448057405931367148187670473214005924,257348776083439825059418698204064857424053649526419296760473840092798080945791500341154973599684862447053590919957500757759116788624841936718130487430916473397065633904767519948,1817749385744941103187553494461857158700213191965681954212627894641723446362881990510990838453653553463030818805354679387841115009010182086639746308549157013792832015788296668492,131161090398048060483207891660563841864082678058974445674156621277503204300228406638573626955701320699073616657930348563198998569081224899999994368655559401218447404865035336700,666091331226579213135828788056206110862211736033043217264953576476066062024378748101276270563294536094266878272758439456062387487174172099570571145753193042383975619782192964172,695851870530568360889888819728945310935493992461382103779033634008412601204822312086271214277694629732006809752372275909141050502836672549095014218486071738221368178585594846492,1038870769978601185266094550948438538508380889953406140621818471213510578618686049136588906673791588147823736139189808859633157817255325470756144977270037881171357731379341857212,2524242196454313766496341878119005604556356037670389907599718397098558877330809735347125963743323804668030568498099546545716245303788980165032722846028952436930777796482877303441,2525759700549400247637174813277353365828640815168611732206184848468254689640436537055337778758647398380173586940568779208845251686089464845485808888496179100205637585288320703244,2598599897113551342397155700878045906898310135083259313316574514213653680502523019049504899494179896563038472179091947039037558036512729507233938926923058937398907447949603893788,1665478154017089709611721636294259535595692466745355042494750018078667479503040108820719698052736409428447924511974392323618586176744617102754922054307634542472769605221069760412,1932323936847075032500886819561728032753689085250172906876807168842386956810562447989409371868658040638374624249655494554731451744891268458227528909199277832571629840241442663636,516472676830839803100386196259712689451998063515176347068480146952250858912222788867568878893777269178242958291817409636049477466352164103825543741713156173231857753939018787804,255442721956685687388642649182546457851257149290010716034886167863249487853117562957782630574466724895606843380528808486337631741634538460029456629863358790023785680560837148316,1359374514531812060004758706692764876534272625828856113194235281692917617195294621631609760081989320271650763272759792009504500520371501098529841186774388322892986295823752652548,1046478513626601633676916301211545322746057811461984975792366734371417609569590279769962633941352752475447345483402693949501949048481471457923197504443851041146610427534385712172,413408611399386647538113802012267347989648985699843391940852402763356594796680488700468455195212443543046252260834240593692849162081082302734864282769876378767792506910846098668,1594722932650124173888371181758407769410773890493663145900391550853495572780775959300950982726014797470880562950763438898004548893297137870046234605443228470563612566439040159396,117140862730434023314646236798024614721914595265328581520442542950462454934053768720437750594844870058528461084804513810617896801626458514362031392216542012456820820667287150228,1305953915100387433031781469759078396583229536320064766571660148431003092871423232253593208412088290080412231279402796513104014329397627682001151475397886733480169657692702573956,1589427516293516300432149443624784645454913243047579884864079440362483624141963041903325868961305908948330259159008334764053486336543746926697704932566615497250682786231727570380,510225663780119851067591034431110757634418066761778409735816580903562086212064717700444186282129369399532812144078336160251230820303733164963807397477783801403698910890093948868,789248522741521106757915221783346890002522504045402559332829573256293662745845243871516022513383369752897439184378197208793817805361542906840033239296398223512085892438183056460
